random_state,MAE,RMSE,R²,Feature Importances,N Estimators,Max Depth
42,1372.7491715160963,2456.4348795695373,-0.2715158950874794,"[0.3896494668348652, 0.2906347207886974, 0.3197158123764375]",100,
23,1695.635487690697,6180.345310274282,0.025268021840864185,"[0.3844674904571041, 0.3008582407213367, 0.3146742688215592]",100,
15,1340.6474193846195,2638.738929698771,-0.04832512680264878,"[0.3674007252252507, 0.2849186515330169, 0.34768062324173243]",100,
34,1649.5531776833618,5573.480578207322,-0.0666029117821727,"[0.35517371204388654, 0.24571589954363982, 0.3991103884124737]",100,
18,1604.4614144239492,5174.428766046619,-0.003410541818151369,"[0.3855704034813643, 0.2214477971866195, 0.3929817993320162]",100,
32,1488.0609038240025,4000.1524253903126,-0.30660551775255374,"[0.37557317781415883, 0.29826658451125315, 0.32616023767458796]",100,
47,1508.4264158217889,4703.9154230349695,0.003136611901144337,"[0.4331368497462746, 0.24740883664365046, 0.31945431361007504]",100,
27,1733.2334349186904,6742.413379333453,-0.029256791927492642,"[0.3615338781530025, 0.18939954525114863, 0.4490665765958489]",100,
8,1332.3075114940154,2698.2217764034804,-0.4287126830892305,"[0.3873107983378147, 0.2704755352011616, 0.34221366646102375]",100,
52,1405.3780327589968,2935.0862807360595,-0.852724457264683,"[0.3365932902923304, 0.3125116870743272, 0.3508950226333423]",100,
