random_state,MAE,RMSE,R²,Coefficients,Intercept
42,1466.9679412886965,2108.679459307764,0.06301547563857879,"[297.91160883790474, -139.0146448514901, 291.9057883065835]",1829.684559318428
23,1740.9243372567032,6259.582794920745,0.00011395076806230975,"[540.5497722854428, -118.08368048217862, 111.19314624258311]",1736.2655803164591
15,1499.5470252791595,2527.9147609880943,0.03788275648699013,"[439.5017179517251, -107.28951673404181, 176.850228690226]",1804.2088704354865
34,1725.2351334168611,5360.4320597683445,0.01338123174883854,"[152.85489277348734, -212.7877212518914, 421.9304261641062]",1718.0023685805315
18,1745.103049914747,5157.164972260654,0.00327378066887285,"[380.9322479244206, -184.69347505784307, 254.13918991009035]",1724.9215733511367
32,1534.144557184709,3505.0814041533185,-0.0032002335014880146,"[293.08082352977226, -246.76612979355653, 352.0992709674829]",1816.6004968140608
47,1685.2801585319608,4638.189416251877,0.030799570133114185,"[357.32862409670275, -100.43424552712473, 146.41879787294883]",1730.2827075927898
27,1853.1555659116057,6610.6278199765175,0.01058519634583921,"[414.15889774201975, -124.44629346909502, 141.52642079195252]",1714.2911922982862
8,1422.118037880483,2198.6360629161627,0.05137119367013909,"[131.83439092882088, -240.47033770572654, 456.660382035673]",1832.3566300537343
52,1361.8480095261045,2084.7240203973997,0.06531293948907824,"[316.95778632024377, -144.33746809044902, 271.6512739132203]",1821.6302052447477
