random_state,MAE,RMSE,R²
42,821.2740143654564,1456.123240234687,0.29066354793938365
23,988.503595827276,1686.3797128721744,0.17300573675803643
15,1140.877898567893,2784.626620085804,0.06079648415822936
34,922.8047963478782,1639.6379179805126,0.18899228444577543
18,1596.0902114528317,6775.884648331642,0.013440516691994309
32,955.7189282628839,1818.992676395605,0.18934395713412733
47,1331.3481899212925,5729.043190589217,0.021386965737561825
27,884.3765454677234,1880.8221779707815,0.16241696061472544
8,964.5104260566018,1662.5492413045286,0.17005156572156543
52,1027.72940735002,1807.8039334327202,0.284832092643288
