feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.031246377,0.06014175,981.57874,446.40118,0.252802491
vit,23,0.032579974,0.127063066,681.4465,394.97415,0.385116041
vit,15,0.037203978,0.105387591,991.00635,606.1862,0.397820592
vit,34,0.033837087,0.116711326,1779.8169,907.2656,0.168916047
vit,18,0.03317005,0.141957939,1718.603,1092.2576,0.236158013
vit,32,0.033987048,0.089199163,1767.568,871.9842,0.014817297
vit,47,0.029470802,0.14457491,2099.113,1050.4785,0.217778444
vit,27,0.031227385,0.099546611,2266.5435,853.90546,0.244194984
vit,8,0.031441554,0.165596813,1871.2378,1197.9182,0.103223026
vit,52,0.028394874,0.130163237,1463.6444,791.7451,0.074906826
,,0.032255913,0.118034241,1562.055819,821.311619,0.209573376
vgg,42,0.033835408,0.06970989,1048.7086,507.64032,0.147106349
vgg,23,0.036782191,0.136622429,675.9717,425.39374,0.39495635
vgg,15,0.036075958,0.090434968,997.1521,520.25256,0.390328646
vgg,34,0.038409245,0.1031368,1635.7003,832.965,0.298057199
vgg,18,0.038036963,0.139741853,1731.6755,1114.5936,0.224493504
vgg,32,0.036823839,0.137291193,1879.2473,965.2805,-0.113608003
vgg,47,0.03811559,0.132532954,1992.946,973.0555,0.294902503
vgg,27,0.039734048,0.134759814,2485.979,1019.4316,0.090764105
vgg,8,0.036723607,0.162124753,1824.0482,1278.4104,0.147883296
vgg,52,0.034542169,0.099499963,1162.0479,624.43463,0.416874051
,,0.036907902,0.120585462,1543.34766,826.145785,0.2291758
shuff,42,0.033891094,0.101036645,1067.9701,499.5641,0.115488768
shuff,23,0.033844747,0.112340353,739.5,413.76062,0.275887489
shuff,15,0.035669129,0.106577173,886.4448,499.07385,0.518189311
shuff,34,0.033959054,0.125971109,1698.2596,933.1449,0.243337154
shuff,18,0.034860978,0.105433293,1538.6956,968.3344,0.387709141
shuff,32,0.034118104,0.063782655,1641.8832,746.2476,0.149941027
shuff,47,0.038737772,0.133040681,2256.982,1063.1575,0.095696449
shuff,27,0.033811638,0.104404911,2311.2068,900.1601,0.214114547
shuff,8,0.035026625,0.153583482,1783.4797,1216.9218,0.185365438
shuff,52,0.036168967,0.13161619,1254.1433,709.6227,0.32078284
,,0.035008811,0.113778649,1517.85651,794.998757,0.250651217
resnet,42,0.033363938,0.06180162,964.5903,525.18085,0.278442621
resnet,23,0.036121298,0.119406477,588.3525,376.31848,0.541641951
resnet,15,0.038860086,0.135546446,1012.3397,539.41156,0.37161535
resnet,34,0.035749812,0.116882287,1694.417,872.8998,0.246757388
resnet,18,0.036252676,0.151439309,1715.6139,1072.7355,0.238812804
resnet,32,0.040629668,0.089109421,1757.6334,823.148,0.025860548
resnet,47,0.035270555,0.127122819,2017.1318,985.9224,0.277684927
resnet,27,0.037768994,0.161348909,2502.8103,1051.1077,0.078410447
resnet,8,0.037543305,0.156664595,1767.4767,1213.5782,0.199919164
resnet,52,0.03895895,0.085014857,1329.6931,687.43005,0.236485779
,,0.037051928,0.120433674,1535.00587,814.773254,0.249563098
